employee_id,name,years_in_company,department,education_level,job_level,current_salary,previous_promotions,last_promotion_year,performance_score,manager_feedback,peer_feedback,kpi_score,training_hours_completed,certifications_count,innovation_score,attendance_rate,overtime_hours,internal_initiatives,team_collaboration_score,mentorship_score,disciplinary_actions,project_delivery_success_rate,client_feedback_score,skill_progression_score,cross_functional_exposure,workload_balance,learning_agility,department_budget_factor,vacant_positions_in_level,policy_override_flag,remote_work_eligibility,promotion_received,salary_increase_percent
E03921,Matthew Evans,12,Operations,Diploma,Senior,1457994,3,2023,5.0,5.0,5.0,0.88,48,3,0.55,0.91,0,2,0.87,0.74,0,0.94,5.0,0.46,0,0.77,0.87,1.17,1,True,True,1,8
E00634,Robert Reese,21,Sales,Diploma,Entry,549694,3,2004,4.55,4.82,4.27,1.0,62,0,0.28,0.93,63,3,1.0,1.0,0,0.97,4.8,1.0,1,0.97,0.73,1.24,3,True,False,1,12
E02114,Michelle Mcdowell,21,HR,Diploma,Mid,796801,2,2004,4.22,4.24,4.56,1.0,46,2,0.45,0.91,4,0,0.83,1.0,0,1.0,5.0,0.94,3,0.44,0.9,1.3,1,True,False,1,18
E04837,Daryl Lowe,13,Operations,Master,Senior,1527451,3,2022,4.71,4.39,3.45,1.0,46,1,0.54,0.98,45,1,1.0,0.86,0,1.0,5.0,0.83,4,0.49,0.72,1.29,2,True,False,1,13
E00730,Derrick Anderson,10,Sales,Bachelor,Entry,601765,1,2023,4.57,5.0,4.27,1.0,25,1,0.5,0.94,10,0,1.0,0.53,0,0.92,5.0,0.81,3,0.59,0.8,1.22,0,True,False,1,10
E04592,Cody Jimenez,19,Operations,Bachelor,Entry,625982,3,2024,4.96,4.71,5.0,1.0,42,2,0.19,0.94,7,0,0.74,1.0,0,1.0,5.0,0.91,1,0.75,1.0,1.03,1,True,False,1,19
E04364,Martha Williams,11,Finance,Master,Entry,601600,3,2024,5.0,4.51,5.0,1.0,19,0,0.58,0.95,11,2,0.75,0.69,0,0.95,3.9,0.8,4,0.59,1.0,1.26,3,True,False,1,13
E01837,Ryan Salazar,8,Operations,Bachelor,Leadership,3785451,2,2018,5.0,5.0,4.18,1.0,32,1,0.38,0.92,59,3,0.98,0.73,0,1.0,5.0,0.87,3,0.66,0.97,1.3,2,False,False,1,15
E04465,Earl Hall,24,Operations,Master,Entry,613310,0,2005,4.8,4.92,4.94,1.0,63,2,0.35,0.93,0,0,0.75,0.96,0,1.0,4.79,0.96,1,0.41,0.87,1.3,3,False,True,1,19
E00679,Jose Crawford,9,IT,Bachelor,Mid,881587,3,2019,4.97,5.0,4.41,1.0,5,4,0.28,0.92,8,1,0.79,0.76,0,1.0,5.0,0.75,3,0.54,0.74,1.26,3,False,False,1,13
E03530,Michelle Larsen,20,HR,Bachelor,Senior,1448703,3,2006,5.0,4.46,5.0,1.0,39,4,0.39,0.91,9,1,0.93,0.75,0,1.0,4.82,0.68,0,0.82,0.92,1.3,3,False,False,1,10
E03767,Jessica Little,25,Finance,Bachelor,Entry,557676,3,2018,4.92,4.43,5.0,1.0,59,4,0.38,0.95,28,1,0.64,1.0,0,1.0,5.0,0.76,0,0.47,1.0,1.04,2,True,True,1,12
E01789,Tammy Hill,10,Finance,Bachelor,Entry,582052,2,2016,5.0,5.0,4.76,1.0,42,1,0.69,0.94,24,0,0.9,0.81,0,0.95,5.0,0.61,1,0.58,0.89,1.26,2,False,True,1,18
E04780,Jennifer Banks,12,Sales,Bachelor,Manager,1910302,2,2015,4.73,5.0,3.87,1.0,52,2,0.22,0.93,22,0,0.87,0.67,0,0.86,4.67,0.76,3,0.67,0.65,1.29,2,True,False,1,10
E03697,Shaun Thompson,17,Sales,Bachelor,Senior,1533992,1,2023,5.0,5.0,4.63,1.0,35,2,0.28,0.87,13,1,0.89,0.67,0,1.0,5.0,0.73,3,0.9,1.0,1.22,1,False,False,1,11
E02211,John Holt,8,Finance,Bachelor,Mid,938290,2,2019,4.76,5.0,5.0,1.0,24,1,0.5,0.91,2,1,0.98,0.87,0,0.93,5.0,0.44,0,0.92,0.82,1.3,0,False,False,1,16
E04790,Mark Miller,16,Finance,Bachelor,Mid,865575,3,2019,5.0,5.0,5.0,1.0,30,2,0.29,0.88,3,2,0.89,0.77,0,0.89,5.0,0.88,2,0.65,0.64,1.29,2,False,False,1,9
E02447,Mary Pugh,20,HR,Bachelor,Senior,1195138,3,2012,4.89,5.0,4.83,1.0,47,1,0.33,0.9,87,3,1.0,0.8,0,0.94,4.86,0.94,2,0.68,0.89,1.3,0,False,False,1,9
E03721,Pam Hernandez,22,Sales,Master,Manager,2124378,3,2025,4.9,4.75,4.32,1.0,34,1,0.64,0.96,26,1,1.0,0.68,0,1.0,5.0,0.66,2,0.87,0.82,1.3,1,False,False,1,8
E03757,Paula Lee,24,Operations,Bachelor,Senior,1303247,3,2003,4.76,5.0,4.21,1.0,43,7,0.3,0.94,1,1,0.66,0.78,0,1.0,5.0,0.81,4,0.75,0.95,1.3,3,False,True,1,17
E04673,Ryan Pierce,17,Legal,PhD,Mid,986400,2,2024,4.47,5.0,3.79,1.0,56,5,0.37,0.93,11,1,0.91,0.87,0,0.97,5.0,0.55,4,0.7,0.85,1.18,3,True,True,1,16
E00224,Theresa Clark,23,IT,Master,Senior,1609999,1,2008,4.13,4.42,4.13,1.0,37,1,0.43,0.83,7,0,1.0,0.93,0,0.99,5.0,0.45,4,0.68,0.97,1.28,1,True,False,1,12
E01737,Larry Lane,24,HR,Bachelor,Entry,587420,1,2016,5.0,5.0,3.67,1.0,42,1,0.51,0.94,17,0,1.0,1.0,0,1.0,5.0,0.78,4,0.76,0.7,1.3,1,False,True,1,13
E02861,Veronica Osborne,5,Sales,Diploma,Mid,806645,1,2023,5.0,5.0,4.57,1.0,10,5,0.61,0.9,17,3,0.85,0.7,0,1.0,4.93,0.74,2,0.89,0.88,1.22,1,False,False,1,14
E03959,Ronald Garcia,9,IT,Master,Mid,845066,3,2021,4.57,4.48,5.0,1.0,38,3,0.18,0.84,86,2,0.77,0.76,0,0.92,5.0,1.0,1,0.27,0.69,1.16,2,True,True,1,11
E00657,Eric Thomas,13,IT,Master,Leadership,3890093,1,2018,5.0,4.87,4.68,1.0,42,5,0.4,0.89,24,0,0.74,0.86,0,1.0,4.91,1.0,3,0.61,0.9,1.23,2,False,True,1,12
E01017,Suzanne Jones,19,Operations,Bachelor,Entry,541413,2,2007,4.5,4.42,5.0,0.98,34,1,0.44,0.94,22,2,0.88,1.0,0,0.95,4.65,0.99,3,0.62,1.0,1.22,2,True,False,1,13
E02715,Justin Herrera,25,Finance,Bachelor,Entry,537371,2,2020,4.53,5.0,3.64,1.0,61,5,0.44,0.93,13,2,1.0,1.0,0,0.85,5.0,0.58,5,0.77,0.67,1.29,0,True,True,1,17
E01828,Sabrina Rodriguez,17,Sales,Bachelor,Senior,1609999,1,2019,4.53,4.98,4.63,1.0,49,1,0.44,0.9,22,1,0.37,0.9,0,1.0,4.95,0.79,1,0.63,0.75,1.3,2,False,False,1,15
E04662,Scott Brown,9,Sales,Bachelor,Mid,823607,1,2019,4.35,4.09,3.71,1.0,51,1,0.67,0.9,0,3,0.8,0.65,0,1.0,5.0,0.59,3,0.65,0.95,1.3,1,True,False,1,17
E04083,Tammy Bell,17,Legal,Diploma,Entry,636276,1,2025,4.53,5.0,4.66,1.0,49,4,0.44,0.95,9,1,0.6,1.0,0,1.0,4.93,0.77,2,0.87,0.54,1.29,0,False,False,1,9
E02049,Matthew Watkins,17,Sales,Bachelor,Mid,903989,3,2021,4.71,5.0,3.57,1.0,23,1,0.27,0.94,25,3,0.94,0.98,0,0.84,5.0,0.86,2,0.42,0.82,1.26,2,True,False,1,15
E00480,Kaylee Hays,17,IT,Bachelor,Manager,2148457,1,2018,5.0,5.0,4.87,1.0,47,5,0.32,0.87,7,3,1.0,0.9,0,1.0,5.0,0.83,4,0.66,0.56,1.16,3,False,True,1,15
E00881,Patricia Johnson,24,Sales,Bachelor,Entry,650684,3,2005,4.7,5.0,5.0,1.0,60,1,0.51,0.89,20,2,0.83,0.94,0,0.9,5.0,0.72,2,0.86,0.79,1.3,2,False,True,1,15
E02034,Tiffany Johnson,16,IT,Bachelor,Senior,1315468,1,2019,4.7,4.62,4.65,1.0,47,5,0.05,0.88,15,0,1.0,0.88,0,0.91,5.0,0.84,5,0.59,0.97,1.13,3,True,False,1,8
E04474,Veronica Diaz,17,Operations,Bachelor,Senior,1316014,3,2023,4.78,5.0,4.87,1.0,61,3,0.36,0.92,40,3,1.0,0.78,0,0.96,4.61,0.79,2,0.7,0.84,1.29,3,False,True,1,8
E04538,Katherine Miller,22,Finance,Bachelor,Entry,595192,1,2017,4.72,4.47,4.22,1.0,43,1,0.34,0.94,0,0,0.91,0.98,0,1.0,4.22,0.72,0,0.98,0.74,1.21,0,True,False,1,10
E01976,Kevin Morrow,8,Operations,Master,Senior,1212088,2,2017,4.9,5.0,4.89,1.0,29,2,0.34,0.97,5,3,1.0,0.58,0,0.9,5.0,0.89,5,0.5,0.8,1.26,3,False,False,1,8
E01267,Shannon Taylor,9,IT,Master,Manager,1700000,1,2020,4.95,5.0,4.04,1.0,23,2,0.48,0.98,29,1,0.89,0.66,0,1.0,4.92,0.87,1,1.0,0.99,1.24,0,False,False,1,17
E03615,Lisa Walton,17,Finance,Diploma,Senior,1455490,0,2025,4.97,4.61,4.92,1.0,44,1,0.38,0.95,4,1,0.88,0.68,0,0.89,5.0,0.81,3,1.0,0.75,1.3,3,False,True,1,19
E02707,Matthew Richardson,7,Operations,Master,Mid,968984,2,2023,4.66,5.0,3.82,1.0,35,2,0.6,0.94,70,2,1.0,0.72,0,1.0,5.0,0.61,1,0.76,0.85,1.3,1,False,False,1,16
E02545,Jade Allen,19,Operations,Bachelor,Manager,1911426,1,2016,4.52,4.82,3.21,1.0,46,2,0.29,0.93,72,3,0.82,0.93,0,0.88,4.89,0.91,0,0.38,0.68,1.3,1,True,False,1,15
E02910,Kevin Fisher,16,HR,Master,Senior,1487900,3,2025,5.0,5.0,4.71,1.0,49,2,0.45,0.99,7,1,0.95,0.77,0,1.0,5.0,0.62,0,0.48,0.99,1.14,1,False,True,1,12
E04869,Jennifer Smith,12,Legal,Bachelor,Senior,1428199,2,2020,5.0,4.68,3.94,1.0,38,1,0.58,0.89,5,1,1.0,0.76,0,0.96,5.0,0.48,0,0.52,1.0,1.3,1,False,True,1,15
E00075,Amy Silva,25,Sales,Bachelor,Entry,589176,1,2012,4.21,3.87,3.82,1.0,37,1,0.46,0.93,7,0,0.91,0.88,0,1.0,5.0,0.73,1,0.57,0.88,1.3,2,True,False,1,9
E02595,Andrea Taylor,18,Sales,PhD,Manager,2124578,2,2009,4.32,4.27,3.98,1.0,32,0,0.49,0.9,30,1,0.91,0.81,0,1.0,4.99,0.96,4,0.79,0.59,1.2,3,True,False,1,13
E02134,Jessica Mora,19,Sales,Bachelor,Leadership,3938137,2,2018,4.76,4.91,4.29,1.0,41,1,0.58,0.92,53,0,1.0,0.9,0,1.0,4.67,0.79,4,0.4,0.86,1.28,3,False,False,1,15
E02266,Robert Gutierrez,2,Sales,PhD,Manager,2300000,0,2025,4.1,5.0,4.28,1.0,19,2,0.54,0.87,5,2,0.8,0.47,0,1.0,4.86,0.62,5,0.86,1.0,1.12,2,True,True,1,10
E01097,Rodney Evans,13,Operations,Bachelor,Entry,602877,3,2018,4.93,4.44,4.24,1.0,30,2,0.56,0.91,4,3,0.97,0.68,0,0.87,4.19,0.6,4,0.86,0.65,1.27,2,True,False,1,16
E00033,Tricia Valencia,16,Operations,Master,Mid,847210,2,2023,4.84,3.82,5.0,1.0,36,1,0.61,0.93,43,2,1.0,0.99,0,1.0,5.0,0.74,4,0.45,1.0,1.3,2,False,True,1,11
E02822,Christy Kennedy,15,Finance,Master,Mid,872816,1,2011,4.45,5.0,4.38,1.0,52,1,0.2,1.0,4,2,0.92,1.0,0,1.0,5.0,0.74,3,0.74,0.8,1.26,1,False,True,1,14
E02539,Hunter Robinson,17,Finance,Bachelor,Senior,1351964,3,2009,4.95,5.0,4.84,1.0,45,2,0.26,0.91,28,3,0.83,0.56,0,0.96,4.69,0.81,3,0.28,0.77,1.2,1,False,True,1,10
E04499,Tonya Harding,16,Operations,Bachelor,Entry,626975,3,2014,5.0,5.0,3.87,1.0,43,4,0.49,0.91,18,0,0.82,0.83,0,1.0,5.0,0.43,4,0.51,0.93,1.2,0,False,False,1,13
E03938,Kristina Monroe,10,Sales,Master,Mid,974802,2,2018,4.04,4.62,3.96,0.97,56,2,0.61,0.92,29,3,1.0,0.69,0,0.96,5.0,0.69,5,1.0,0.72,1.26,2,True,True,1,15
E02671,Tiffany Ray,20,HR,Bachelor,Manager,1779544,3,2006,5.0,5.0,3.85,1.0,45,3,0.54,0.89,25,3,0.96,0.79,0,1.0,5.0,0.27,2,0.71,0.77,1.2,1,False,False,1,9
E01252,Daniel Davenport,6,Legal,PhD,Entry,661656,2,2025,4.69,3.49,4.32,1.0,51,2,0.4,0.97,28,1,0.95,0.49,0,0.9,4.94,0.62,0,0.82,0.86,1.3,1,True,False,1,17
E00630,Kevin Davis,18,Operations,Bachelor,Senior,1419950,3,2009,3.93,4.28,4.73,1.0,41,2,0.61,0.96,16,3,0.88,0.99,0,1.0,5.0,0.83,3,0.77,0.77,1.18,2,True,False,1,9
E02649,Timothy Galvan,23,IT,Master,Mid,997834,3,2020,4.81,5.0,4.45,1.0,54,1,0.62,0.93,65,3,0.81,1.0,0,0.74,5.0,0.68,4,0.81,0.85,1.18,1,True,True,1,8
E02074,Charles Hernandez,25,Legal,Master,Entry,640320,3,2017,5.0,4.55,3.73,1.0,49,6,0.49,0.95,21,1,0.81,0.98,0,0.97,5.0,0.71,5,0.88,0.91,1.3,1,False,True,1,17
E03799,Alex Barton,12,Sales,Master,Entry,566542,2,2019,5.0,4.35,4.82,1.0,38,6,0.58,0.94,9,0,1.0,0.81,0,0.9,4.93,0.98,0,0.4,0.83,1.3,2,False,False,1,8
E04720,William Arnold,12,Finance,Bachelor,Entry,675154,2,2021,3.97,5.0,4.23,1.0,47,1,0.26,1.0,54,2,0.76,0.89,0,0.97,4.44,0.64,2,0.49,0.97,1.22,3,True,True,1,16
E01364,Samantha Jones,11,Sales,Bachelor,Mid,839135,3,2019,5.0,5.0,5.0,1.0,28,4,0.46,0.91,41,3,0.83,0.72,0,0.85,4.48,0.73,4,0.73,0.99,1.3,2,False,True,1,15
E03805,Allison Wilson,21,Sales,Master,Entry,597424,2,2013,4.45,5.0,4.01,1.0,60,5,0.48,0.9,11,3,0.77,1.0,0,0.98,5.0,0.83,2,0.74,0.91,1.3,2,False,True,1,15
E02409,Mark Jones,13,Operations,Bachelor,Entry,569281,3,2021,4.1,5.0,4.41,1.0,46,2,0.23,0.88,20,2,0.77,0.8,0,0.81,4.66,0.6,5,0.6,0.96,1.3,2,True,False,1,15
E03773,Sarah Bishop,22,Finance,Bachelor,Mid,845900,2,2012,3.81,4.78,3.8,1.0,48,3,0.43,0.92,18,2,0.81,0.71,0,1.0,5.0,0.94,4,0.98,0.74,1.21,3,True,False,1,15
E04724,Arthur Krueger,21,Sales,PhD,Mid,916172,0,2005,4.65,3.96,4.13,1.0,45,5,0.33,0.94,29,0,0.9,0.75,0,0.94,4.27,0.52,3,0.26,1.0,1.3,1,True,True,1,9
E03323,Lee Barry,21,Finance,Master,Manager,1985840,3,2007,5.0,4.44,4.21,1.0,51,2,0.35,0.97,2,2,1.0,0.9,0,1.0,5.0,0.76,4,0.9,0.86,1.23,3,False,False,1,13
E02930,Ronnie Frazier,25,Sales,Bachelor,Senior,1318743,3,2004,4.14,3.95,4.45,1.0,59,4,0.47,0.9,19,2,0.76,0.81,0,0.9,5.0,0.53,4,1.0,0.85,1.3,1,True,False,1,8
E03804,Michele Scott,6,HR,Diploma,Entry,688468,2,2025,4.94,4.56,4.43,1.0,30,0,0.67,0.97,42,1,0.65,0.6,0,1.0,5.0,0.86,0,0.82,1.0,1.2,2,False,True,1,13
E02844,Carol Christensen,20,Sales,Bachelor,Manager,1704345,3,2025,4.08,3.85,5.0,1.0,50,3,0.17,0.92,11,3,0.6,0.87,0,1.0,5.0,0.82,4,0.66,0.9,1.17,2,True,False,1,13
E03875,Mary Meyer,0,IT,Master,Mid,849429,0,2025,4.76,5.0,4.59,1.0,24,2,0.22,0.96,4,3,1.0,0.62,0,0.9,5.0,0.9,3,0.58,0.91,1.25,3,False,False,1,15
E00109,Evelyn Galvan,19,Sales,Master,Entry,621301,3,2014,4.38,5.0,3.76,1.0,66,3,0.28,0.95,37,1,0.62,0.9,0,0.79,4.79,0.93,1,0.83,0.86,1.3,2,True,False,1,18
E01641,Justin Stone,10,Legal,Diploma,Senior,1530521,3,2015,4.81,5.0,4.58,1.0,39,5,0.71,0.91,2,1,0.98,0.63,0,1.0,5.0,0.94,2,0.94,0.77,1.14,3,False,False,1,10
E03130,Christian Wagner,25,IT,Bachelor,Senior,1502027,3,2013,4.37,3.42,4.53,1.0,62,3,0.46,0.93,2,0,0.84,0.91,0,0.92,5.0,0.7,5,0.92,0.74,1.3,2,True,False,1,17
E02167,Sean White,25,Sales,Bachelor,Entry,551020,3,2015,4.91,5.0,3.76,1.0,53,4,0.67,0.94,11,2,0.75,1.0,0,1.0,5.0,0.55,4,0.61,0.8,1.2,2,False,False,1,15
E01246,Monica Brooks,13,Sales,Bachelor,Entry,510000,2,2020,4.87,5.0,3.43,1.0,30,1,0.6,0.95,32,1,0.84,0.66,0,1.0,5.0,0.59,4,0.66,0.69,1.24,0,False,False,1,14
E02578,Lisa James,11,IT,Bachelor,Senior,1499744,0,2015,4.71,5.0,4.4,1.0,34,2,0.5,0.9,6,1,0.82,0.52,0,1.0,5.0,0.74,1,0.46,0.79,1.17,3,False,False,1,11
E02204,James Miller,14,Sales,PhD,Mid,877870,3,2023,5.0,4.75,4.16,1.0,36,5,0.31,0.93,10,3,0.83,0.74,0,0.87,5.0,0.79,2,0.77,1.0,1.3,2,False,False,1,19
E00049,Joshua Blair,16,Legal,Master,Mid,845494,0,2025,4.28,4.23,4.48,1.0,53,3,0.29,0.92,2,2,0.88,0.98,0,0.99,4.79,0.67,1,0.75,0.81,1.15,1,True,False,1,18
E02423,Patricia Hernandez,21,Legal,PhD,Mid,876714,3,2017,4.11,4.64,4.09,1.0,43,6,0.7,0.93,62,2,0.77,1.0,0,0.95,5.0,0.66,5,0.74,0.77,1.17,0,True,False,1,9
E01482,Christina Washington,25,Legal,PhD,Mid,788432,3,2016,4.27,4.36,3.02,1.0,36,6,0.26,0.94,68,1,0.81,1.0,0,0.97,4.84,0.77,3,0.78,0.77,1.29,0,True,False,1,10
E00892,Nathan Nelson,0,Operations,Bachelor,Mid,833238,0,2025,5.0,5.0,4.75,1.0,22,1,0.53,0.89,11,0,0.8,0.66,0,0.86,4.4,0.48,0,0.89,0.54,1.3,0,False,False,1,11
E01680,Bruce Hernandez,8,Operations,PhD,Senior,1510130,2,2024,4.45,4.98,4.91,1.0,40,1,0.35,0.96,10,0,0.83,0.54,0,0.97,4.3,0.84,5,0.83,0.88,1.3,3,False,False,1,8
E00196,Allen Rosales,16,Finance,Bachelor,Senior,1581061,1,2013,4.61,4.81,3.59,1.0,26,5,0.58,0.93,11,1,0.7,0.9,0,1.0,5.0,0.58,3,0.89,0.73,1.04,2,True,False,1,13
E02550,Brian Murphy,12,Finance,Master,Entry,641740,2,2017,4.9,5.0,3.66,1.0,38,4,0.66,0.94,36,2,1.0,0.84,0,1.0,4.31,0.82,5,0.8,0.59,1.3,0,False,False,1,10
E00667,David Harris,20,Sales,Bachelor,Entry,585616,1,2020,4.72,4.83,3.97,1.0,39,1,0.35,0.94,14,0,1.0,1.0,0,0.97,4.17,0.71,2,0.5,0.56,1.13,0,True,False,1,15
E03783,Christine Moran,8,HR,Master,Entry,593680,2,2022,5.0,5.0,5.0,1.0,54,4,0.37,0.94,23,3,0.87,0.86,0,0.77,5.0,0.98,2,0.87,1.0,1.27,2,False,True,1,12
E00357,Jesse Perry,2,Sales,Bachelor,Mid,822615,0,2025,3.91,5.0,4.17,1.0,30,0,0.67,0.96,3,0,0.97,0.4,0,0.92,5.0,0.74,0,0.89,0.62,1.17,1,True,False,1,18
E01838,Alexis Tucker,19,Finance,Diploma,Entry,575670,2,2010,4.52,5.0,4.65,1.0,61,4,0.24,0.9,7,1,0.86,0.99,0,0.87,5.0,0.69,5,0.65,0.79,1.3,0,False,True,1,15
E02579,Jeremy Smith,2,IT,Bachelor,Senior,1609999,0,2024,4.02,3.81,3.59,1.0,31,2,0.41,0.91,23,1,0.78,0.7,0,1.0,5.0,0.58,0,0.6,0.85,1.3,0,True,True,1,9
E03760,Christopher Hunter MD,14,Sales,Master,Manager,2300000,2,2016,4.84,4.64,4.52,1.0,33,1,0.63,0.94,2,3,0.7,0.78,0,0.91,4.72,0.81,4,0.83,1.0,1.3,0,False,False,1,11
E00021,Margaret Hawkins DDS,4,IT,Bachelor,Entry,632608,1,2022,3.97,4.46,2.65,1.0,48,3,0.82,0.91,6,2,0.86,0.36,0,1.0,5.0,0.94,3,0.8,1.0,1.3,0,True,False,1,15
E01277,Renee Mendez,20,Sales,Master,Entry,542016,2,2011,4.95,5.0,4.2,1.0,61,5,0.33,0.98,15,2,0.73,0.97,0,0.89,4.52,0.64,0,0.7,1.0,1.3,1,False,False,1,9
E03655,Jacqueline Kennedy,3,Sales,Master,Senior,1445033,1,2023,4.61,5.0,4.55,1.0,43,1,0.46,0.93,17,3,0.91,0.5,0,0.87,5.0,0.65,2,0.63,0.85,1.28,2,False,False,1,8
